Run,air_temperature_regimen,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,collected_by,Collection_Date,common_name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,ENA-FIRST-PUBLIC (run),ENA-FIRST-PUBLIC,ENA-LAST-UPDATE (run),ENA-LAST-UPDATE,Experiment,External_Id,geo_loc_name_country,geo_loc_name_country_continent,geographic_location_(country_and/or_sea),geographic_location_(latitude),geographic_location_(longitude),growth_facility,INSDC_center_alias,INSDC_center_name,INSDC_first_public,INSDC_last_update,INSDC_status,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,organism_common_name,Organism,plant_developmental_stage,plant_growth_medium,plant_structure,Platform,ploidy,ReleaseDate,Sample Name,sample_name,sample_storage_temperature,sampling_time_point,SRA Study,Submitter_Id,subspecific_genetic_lineage_rank
ERR6004322,18-25 ?C,RNA-Seq,51,258774153,PRJEB45523,SAMEA8902066,100206116,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644882,SAMEA8902066,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,20days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902066,GC078101,-80?C,"0,5",ERP129642,GC078101,Rosecoco
ERR6004323,18-25 ?C,RNA-Seq,51,470855664,PRJEB45523,SAMEA8902067,182521276,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644883,SAMEA8902067,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,30days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902067,GC078102,-80?C,"0,5",ERP129642,GC078102,Canadian wonder
ERR6004325,18-25 ?C,RNA-Seq,51,218126796,PRJEB45523,SAMEA8902069,86768392,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644885,SAMEA8902069,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,30days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902069,GC078104,-80?C,"0,5",ERP129642,GC078104,Rosecoco
ERR6004327,18-25 ?C,RNA-Seq,51,869168010,PRJEB45523,SAMEA8902071,402935189,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644887,SAMEA8902071,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,30days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902071,GC078106,-80?C,"0,5",ERP129642,GC078106,Pinto
ERR6004328,18-25 ?C,RNA-Seq,51,244909242,PRJEB45523,SAMEA8902072,96034406,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644888,SAMEA8902072,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,20days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902072,GC078107,-80?C,"0,5",ERP129642,GC078107,Pinto
ERR6004330,18-25 ?C,RNA-Seq,51,287698650,PRJEB45523,SAMEA8902074,110552919,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644890,SAMEA8902074,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,35days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902074,GC078109,-80?C,"0,5",ERP129642,GC078109,Canadian wonder
ERR6004332,18-25 ?C,RNA-Seq,51,248381475,PRJEB45523,SAMEA8902076,98643347,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644892,SAMEA8902076,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,15days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902076,GC078111,-80?C,"0,5",ERP129642,GC078111,Rosecoco
ERR6004336,18-25 ?C,RNA-Seq,51,219048774,PRJEB45523,SAMEA8902080,84238136,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644896,SAMEA8902080,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,30days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902080,GC078115,-80?C,"0,5",ERP129642,GC078115,Rosecoco
ERR6004339,18-25 ?C,RNA-Seq,51,369502803,PRJEB45523,SAMEA8902083,144004245,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644899,SAMEA8902083,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,20days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902083,GC078118,-80?C,"0,5",ERP129642,GC078118,Rosecoco
ERR6004341,18-25 ?C,RNA-Seq,51,449419446,PRJEB45523,SAMEA8902085,169991709,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644901,SAMEA8902085,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,15days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902085,GC078120,-80?C,"0,5",ERP129642,GC078120,Pinto
ERR6004343,18-25 ?C,RNA-Seq,51,368617545,PRJEB45523,SAMEA8902087,142873286,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644903,SAMEA8902087,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,20days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902087,GC078122,-80?C,"0,5",ERP129642,GC078122,Pinto
ERR6004344,18-25 ?C,RNA-Seq,51,342529362,PRJEB45523,SAMEA8902088,130647979,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644904,SAMEA8902088,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,15days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902088,GC078123,-80?C,"0,5",ERP129642,GC078123,Pinto
ERR6004346,18-25 ?C,RNA-Seq,51,223643415,PRJEB45523,SAMEA8902090,87451616,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644906,SAMEA8902090,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,35days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902090,GC078125,-80?C,"0,5",ERP129642,GC078125,Pinto
ERR6004349,18-25 ?C,RNA-Seq,51,648074493,PRJEB45523,SAMEA8902093,246689074,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644909,SAMEA8902093,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,30days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902093,GC078128,-80?C,"0,5",ERP129642,GC078128,Canadian wonder
ERR6004351,18-25 ?C,RNA-Seq,51,195437814,PRJEB45523,SAMEA8902095,76567277,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644911,SAMEA8902095,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,35days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902095,GC078130,-80?C,"0,5",ERP129642,GC078130,Rosecoco
ERR6004353,18-25 ?C,RNA-Seq,51,411149607,PRJEB45523,SAMEA8902097,152823203,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644913,SAMEA8902097,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,30days after flowering different kit,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902097,GC078132,-80?C,"0,5",ERP129642,GC078132,Rosecoco
ERR6004303,18-25 ?C,RNA-Seq,51,241593681,PRJEB45523,SAMEA8902047,93293605,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644863,SAMEA8902047,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,15days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902047,GC078082,-80?C,"0,5",ERP129642,GC078082,Canadian wonder
ERR6004306,18-25 ?C,RNA-Seq,51,414794118,PRJEB45523,SAMEA8902050,158976314,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644866,SAMEA8902050,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,15days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902050,GC078085,-80?C,"0,5",ERP129642,GC078085,Canadian wonder
ERR6004308,18-25 ?C,RNA-Seq,51,386923383,PRJEB45523,SAMEA8902052,149590518,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644868,SAMEA8902052,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,35days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902052,GC078087,-80?C,"0,5",ERP129642,GC078087,Canadian wonder
ERR6004310,18-25 ?C,RNA-Seq,51,170172975,PRJEB45523,SAMEA8902054,65491711,VRIJE UNIVERSITEIT BRUSSEL,VUB,2019,Common bean,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",2021-08-03,2021-08-03,2021-08-03,2021-08-03,ERX5644870,SAMEA8902054,Belgium,Europe,Belgium,50.80?N,4.40?E,glasshouse,VRIJE UNIVERSITEIT BRUSSEL,VRIJE UNIVERSITEIT BRUSSEL,2021-08-03T00:18:28Z,2021-08-03T00:18:28Z,public,Illumina HiSeq 4000,unspecified,SINGLE,Oligo-dT,TRANSCRIPTOMIC,Common bean,Phaseolus vulgaris,20days after flowering,Soil,Seed,ILLUMINA,diploid,2021-09-26T00:00:00Z,SAMEA8902054,GC078089,-80?C,"0,5",ERP129642,GC078089,Canadian wonder
